"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x771324336762335232","x1043869186508947456",2018-09-23 14:26:22,"keepthevibeup","If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals. 
<U+2015> J.K. Rowling #quote","The Social Jukebox",126,,,,FALSE,FALSE,0,0,"quote",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/keepthevibeup/status/1043869186508947456","Keep The Vibe Up!"," Vibe Up Universe ","Mindful life's view of a kid who started seriously observing life after his grandma died last 2011.","https://t.co/uECKvLcVsc",FALSE,940,970,36,9045,3389,2016-09-01 12:30:27,FALSE,"https://t.co/uECKvLcVsc","http://www.keepthevibeup.com","en","https://pbs.twimg.com/profile_banners/771324336762335232/1492301573","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/815522682141716480/iJcGFCpP_normal.jpg"
"x771324336762335232","x1043561895519760389",2018-09-22 18:05:18,"keepthevibeup","Honestly, if you were any slower, you’d be going backward. 
<U+2015> J.K. Rowling #quote","The Social Jukebox",81,,,,FALSE,FALSE,0,0,"quote",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/keepthevibeup/status/1043561895519760389","Keep The Vibe Up!"," Vibe Up Universe ","Mindful life's view of a kid who started seriously observing life after his grandma died last 2011.","https://t.co/uECKvLcVsc",FALSE,940,970,36,9045,3389,2016-09-01 12:30:27,FALSE,"https://t.co/uECKvLcVsc","http://www.keepthevibeup.com","en","https://pbs.twimg.com/profile_banners/771324336762335232/1492301573","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/815522682141716480/iJcGFCpP_normal.jpg"
"x771324336762335232","x1043712098155601921",2018-09-23 04:02:10,"keepthevibeup","It does not do to dwell on dreams and forget to live. 
<U+2015> J.K. Rowling #quote","The Social Jukebox",76,,,,FALSE,FALSE,0,0,"quote",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/keepthevibeup/status/1043712098155601921","Keep The Vibe Up!"," Vibe Up Universe ","Mindful life's view of a kid who started seriously observing life after his grandma died last 2011.","https://t.co/uECKvLcVsc",FALSE,940,970,36,9045,3389,2016-09-01 12:30:27,FALSE,"https://t.co/uECKvLcVsc","http://www.keepthevibeup.com","en","https://pbs.twimg.com/profile_banners/771324336762335232/1492301573","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/815522682141716480/iJcGFCpP_normal.jpg"
"x2776337394","x1043869090631307264",2018-09-23 14:26:00,"bouledenerfs_","@stephen_wigmore He doesn't like J K Rowling, so we all have mad cow disease. Or something","Twitter for Android",73,"x1043867764417548289","x2883945809","stephen_wigmore",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x2883945809","stephen_wigmore","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bouledenerfs_/status/1043869090631307264","Ruth","","'The spiders will have their party and will soon die'",,FALSE,1086,845,6,26911,33370,2014-08-28 12:43:31,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2776337394/1514237212","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/945405494478495747/KQ3Rzz5G_normal.jpg"
"x1024162238","x1043551544673619968",2018-09-22 17:24:11,"Claudiakfauzi","“It does not do to dwell on dreams and forget to live.”  <U+2015> J.K. Rowling, Harry Potter and the Sorcerer's Stone","twittbot.net",110,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Claudiakfauzi/status/1043551544673619968","Claudia Kurnia Fauzi","","Your heart is free, have the courage to follow it. – Braveheart || @AryandoIsmail <U+2661> ||",,FALSE,56,28,1,72577,0,2012-12-20 12:30:32,FALSE,,,"id","https://pbs.twimg.com/profile_banners/1024162238/1358251666","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/3433828611/7c3c31c029416104be2d3486d977a787_normal.png"
"x1024162238","x1043868660119396352",2018-09-23 14:24:17,"Claudiakfauzi","“It does not do to dwell on dreams and forget to live.”  <U+2015> J.K. Rowling, Harry Potter and the Sorcerer's Stone","twittbot.net",110,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Claudiakfauzi/status/1043868660119396352","Claudia Kurnia Fauzi","","Your heart is free, have the courage to follow it. – Braveheart || @AryandoIsmail <U+2661> ||",,FALSE,56,28,1,72577,0,2012-12-20 12:30:32,FALSE,,,"id","https://pbs.twimg.com/profile_banners/1024162238/1358251666","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/3433828611/7c3c31c029416104be2d3486d977a787_normal.png"
"x1024162238","x1043234450958508032",2018-09-21 20:24:10,"Claudiakfauzi","“It does not do to dwell on dreams and forget to live.”  <U+2015> J.K. Rowling, Harry Potter and the Sorcerer's Stone","twittbot.net",110,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Claudiakfauzi/status/1043234450958508032","Claudia Kurnia Fauzi","","Your heart is free, have the courage to follow it. – Braveheart || @AryandoIsmail <U+2661> ||",,FALSE,56,28,1,72577,0,2012-12-20 12:30:32,FALSE,,,"id","https://pbs.twimg.com/profile_banners/1024162238/1358251666","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/3433828611/7c3c31c029416104be2d3486d977a787_normal.png"
"x3075549162","x1043868415402946566",2018-09-23 14:23:19,"900wkdw","J.K. Rowling Just Confirmed A Popular Fan Theory About Hermione Granger 

https://t.co/gUbI4E47dj https://t.co/gUbI4E47dj","Facebook",121,,,,FALSE,FALSE,0,0,,,"ihe.art/JTiUEmn ihe.art/JTiUEmn","https://t.co/gUbI4E47dj https://t.co/gUbI4E47dj","http://ihe.art/JTiUEmn http://ihe.art/JTiUEmn",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/900wkdw/status/1043868415402946566","WKDW","Staunton/Augusta County, VA","Open 24-7 - Playing Classic Country","http://t.co/9hLSSzNLXP",FALSE,56,44,4,23777,0,2015-03-12 19:52:14,FALSE,"http://t.co/9hLSSzNLXP","http://wkdwam.com","en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/576108840887848960/rgyry6aq_normal.png"
"x1021716917869051904","x1043538180232962048",2018-09-22 16:31:04,"Israel_Headline","J.K. Rowling’s new novel depicts villain as an #Israel-hating antisemite https://t.co/8CF8uR4esb https://t.co/R6gJvxC1ft","Seesmic twhirl",96,,,,FALSE,FALSE,0,0,"Israel",,"bit.ly/2MQE1YQ","https://t.co/8CF8uR4esb","http://bit.ly/2MQE1YQ","http://pbs.twimg.com/media/Dntkcd7X4AAKbq2.jpg","https://t.co/R6gJvxC1ft","https://twitter.com/Israel_Headline/status/1043538180232962048/photo/1","photo","http://pbs.twimg.com/media/Dntkcd7X4AAKbq2.jpg","https://t.co/R6gJvxC1ft","https://twitter.com/Israel_Headline/status/1043538180232962048/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Israel_Headline/status/1043538180232962048","Israel Headlines","United States","",,FALSE,4864,1993,11,185,0,2018-07-24 11:21:10,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1021716917869051904/1534072761",,"http://pbs.twimg.com/profile_images/1028598501905719296/2TWLKSqN_normal.jpg"
"x1021716917869051904","x1043686215457939456",2018-09-23 02:19:19,"Israel_Headline","J.K. Rowling's new novel includes an antisemetic villian https://t.co/ggjkjYvBVX https://t.co/3OW0ZqQP0t","Seesmic twhirl",80,,,,FALSE,FALSE,0,0,,,"bit.ly/2MU37WL","https://t.co/ggjkjYvBVX","http://bit.ly/2MU37WL","http://pbs.twimg.com/media/DnvrFQnWkAAdMIH.jpg","https://t.co/3OW0ZqQP0t","https://twitter.com/Israel_Headline/status/1043686215457939456/photo/1","photo","http://pbs.twimg.com/media/DnvrFQnWkAAdMIH.jpg","https://t.co/3OW0ZqQP0t","https://twitter.com/Israel_Headline/status/1043686215457939456/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Israel_Headline/status/1043686215457939456","Israel Headlines","United States","",,FALSE,4864,1993,11,185,0,2018-07-24 11:21:10,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1021716917869051904/1534072761",,"http://pbs.twimg.com/profile_images/1028598501905719296/2TWLKSqN_normal.jpg"
